file,subject
1801.07965,Cryptography and Security (cs.CR)
1801.07726,High Energy Physics - Phenomenology (hep-ph)
1801.02290,Solar and Stellar Astrophysics (astro-ph.SR)
1801.02480,Computer Vision and Pattern Recognition (cs.CV)
1801.02668,Human-Computer Interaction (cs.HC)
1801.05050,Materials Science (cond-mat.mtrl-sci)
1801.04211,Learning (cs.LG)
1801.00729,Plasma Physics (physics.plasm-ph)
1801.09488,Data Structures and Algorithms (cs.DS)
1801.04993,Quantum Gases (cond-mat.quant-gas)
1801.00336,Physics and Society (physics.soc-ph)
1801.01183,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.10533,Optimization and Control (math.OC)
1801.08611,High Energy Physics - Phenomenology (hep-ph)
1801.08017,Combinatorics (math.CO)
1801.04130,Soft Condensed Matter (cond-mat.soft)
1801.08771,Programming Languages (cs.PL)
1801.00758,Quantum Physics (quant-ph)
1801.06103,Numerical Analysis (math.NA)
1801.10475,Solar and Stellar Astrophysics (astro-ph.SR)
1801.08063,Mathematical Physics (math-ph)
1801.06144,Programming Languages (cs.PL)
1801.00234,Numerical Analysis (math.NA)
1801.10362,High Energy Physics - Experiment (hep-ex)
1801.02215,Soft Condensed Matter (cond-mat.soft)
1801.10313,High Energy Physics - Theory (hep-th)
1801.03454,Computer Vision and Pattern Recognition (cs.CV)
1801.06900,Data Structures and Algorithms (cs.DS)
1801.09778,Optimization and Control (math.OC)
1801.08114,Programming Languages (cs.PL)
1801.01054,Computational Complexity (cs.CC)
1801.08029,Combinatorics (math.CO)
1801.01253,Learning (cs.LG)
1801.07552,Mathematical Physics (math-ph)
1801.01553,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.07722,Social and Information Networks (cs.SI)
1801.00766,Statistical Mechanics (cond-mat.stat-mech)
1801.04120,Materials Science (cond-mat.mtrl-sci)
1801.05161,Databases (cs.DB)
1801.08433,Quantum Algebra (math.QA)
1801.02994,Econometrics (econ.EM)
1801.08598,Software Engineering (cs.SE)
1801.09122,Numerical Analysis (math.NA)
1801.02938,Systems and Control (cs.SY)
1801.01115,Accelerator Physics (physics.acc-ph)
1801.09796,Information Theory (cs.IT)
1801.09992,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.00853,Cryptography and Security (cs.CR)
1801.03834,Emerging Technologies (cs.ET)
1801.05333,Quantum Gases (cond-mat.quant-gas)
1801.06255,Information Theory (cs.IT)
1801.00562,Nuclear Theory (nucl-th)
1801.02295,Quantum Gases (cond-mat.quant-gas)
1801.04890,Solar and Stellar Astrophysics (astro-ph.SR)
1801.04488,Numerical Analysis (math.NA)
1801.02890,Information Theory (cs.IT)
1801.10022,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.05235,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
1801.06027,Databases (cs.DB)
1801.04584,Combinatorics (math.CO)
1801.04497,Computational Complexity (cs.CC)
1801.05178,Hardware Architecture (cs.AR)
1801.01033,High Energy Physics - Phenomenology (hep-ph)
1801.01628,General Mathematics (math.GM)
1801.05017,Neurons and Cognition (q-bio.NC)
1801.09448,Quantum Gases (cond-mat.quant-gas)
1801.10576,Methodology (stat.ME)
1801.05594,High Energy Physics - Phenomenology (hep-ph)
1801.07154,Optics (physics.optics)
1801.08994,Differential Geometry (math.DG)
1801.07399,Computational Geometry (cs.CG)
1801.08725,High Energy Physics - Phenomenology (hep-ph)
1801.07628,Plasma Physics (physics.plasm-ph)
1801.07790,"Data Analysis, Statistics and Probability (physics.data-an)"
1801.02651,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.03594,Information Theory (cs.IT)
1801.00925,Complex Variables (math.CV)
1801.10198,Computation and Language (cs.CL)
1801.01513,High Energy Physics - Phenomenology (hep-ph)
1801.02015,Optimization and Control (math.OC)
1801.08458,Commutative Algebra (math.AC)
1801.09992,"Distributed, Parallel, and Cluster Computing (cs.DC)"
1801.03155,Astrophysics of Galaxies (astro-ph.GA)
1801.03112,Analysis of PDEs (math.AP)
1801.02041,Atomic Physics (physics.atom-ph)
1801.10519,Logic in Computer Science (cs.LO)
1801.10227,Quantitative Methods (q-bio.QM)
1801.00144,Mathematical Physics (math-ph)
1801.03457,Optimization and Control (math.OC)
1801.05714,Commutative Algebra (math.AC)
1801.09344,Learning (cs.LG)
1801.00571,Methodology (stat.ME)
1801.08995,Systems and Control (cs.SY)
1801.09213,Dynamical Systems (math.DS)
1801.08995,Systems and Control (cs.SY)
1801.10576,Methodology (stat.ME)
1801.02208,Functional Analysis (math.FA)
1801.09499,Numerical Analysis (math.NA)
1801.04965,Combinatorics (math.CO)
1801.01838,Numerical Analysis (math.NA)
1801.07286,Atomic Physics (physics.atom-ph)
1801.04080,Economics (q-fin.EC)
1801.10086,Populations and Evolution (q-bio.PE)
1801.02069,Cryptography and Security (cs.CR)
1801.07080,Computer Vision and Pattern Recognition (cs.CV)
1801.05285,Materials Science (cond-mat.mtrl-sci)
1801.00857,Machine Learning (stat.ML)
1801.02595,Probability (math.PR)
1801.04790,Geometric Topology (math.GT)
1801.03248,High Energy Physics - Theory (hep-th)
1801.06216,Data Structures and Algorithms (cs.DS)
